violation_id,date,violation_type,zone,time_of_day,fine_amount,paid,vehicle_type,repeat_offender,day_of_week
46,2023-08-13,Expired Meter,Downtown,Afternoon,25.0,True,Truck,False,Sunday
47,2023-06-15,No Parking Zone,Commercial,Afternoon,25.0,False,Motorcycle,True,Sunday
48,2023-05-01,No Parking Zone,Residential,Morning,50.0,True,Car,False,Thursday
49,2023-05-28,Expired Meter,Commercial,Evening,50.0,True,SUV,True,Monday
50,2023-02-26,Expired Meter,Residential,Afternoon,50.0,False,Car,False,Thursday
51,2023-10-06,No Parking Zone,Downtown,Afternoon,25.0,True,Truck,True,Thursday
52,2023-01-10,No Parking Zone,Residential,Night,,True,Truck,False,Sunday
53,2023-07-27,No Parking Zone,Downtown,Morning,25.0,True,Motorcycle,False,Saturday
54,2023-05-04,Handicap,Residential,Evening,100.0,True,SUV,False,Monday
55,2023-12-17,Street Cleaning,Downtown,Afternoon,50.0,False,Car,True,Monday
56,2023-08-18,Fire Hydrant,Industrial,Afternoon,25.0,True,Truck,False,Thursday
57,2023-11-21,Fire Hydrant,Downtown,Evening,50.0,True,Car,False,Sunday
58,2023-06-01,Street Cleaning,Residential,Morning,25.0,True,Car,False,Thursday
59,2023-11-16,Expired Meter,Residential,Afternoon,75.0,True,SUV,False,Saturday
60,2023-01-11,No Parking Zone,Residential,Morning,50.0,False,Car,False,Friday
61,2023-11-09,Street Cleaning,Commercial,Morning,75.0,True,,False,Monday
62,2023-05-01,No Parking Zone,Commercial,Morning,50.0,False,SUV,False,Thursday
63,2023-04-15,Fire Hydrant,Residential,Night,100.0,True,Car,False,Monday
64,2023-08-02,Expired Meter,Commercial,Afternoon,50.0,True,Car,True,Monday
65,2023-01-30,Expired Meter,Commercial,Evening,25.0,False,Truck,False,Wednesday
66,2023-12-06,Expired Meter,Residential,Evening,75.0,True,Car,False,Wednesday
67,2023-01-26,Expired Meter,Residential,Morning,100.0,True,Truck,True,Friday
68,2023-08-20,No Parking Zone,Downtown,Morning,,True,Car,False,Wednesday
69,2023-05-10,Expired Meter,Residential,Evening,100.0,True,Car,False,Tuesday
70,2023-06-20,Expired Meter,Downtown,Afternoon,25.0,True,,False,Thursday
71,2023-04-27,Expired Meter,Residential,Morning,75.0,True,SUV,True,Friday
72,2023-03-10,Expired Meter,Residential,Afternoon,100.0,True,Truck,False,Thursday
73,2023-11-02,Street Cleaning,Residential,Afternoon,50.0,False,Car,True,Monday
74,2023-07-31,Expired Meter,Downtown,Evening,50.0,True,Truck,False,Tuesday
75,2023-11-22,No Parking Zone,Residential,Afternoon,25.0,True,Truck,False,Friday
76,2023-12-07,No Parking Zone,Commercial,Night,25.0,True,SUV,True,Sunday
77,2023-12-21,Street Cleaning,Residential,Morning,150.0,True,SUV,True,Friday
78,2023-04-28,Fire Hydrant,Residential,Evening,25.0,True,SUV,False,Sunday
79,2023-03-14,No Parking Zone,Downtown,Evening,,True,Truck,False,Thursday
80,2023-04-10,Expired Meter,Downtown,Evening,25.0,False,Truck,False,Sunday
81,2023-07-20,Handicap,Industrial,Afternoon,25.0,True,SUV,False,Wednesday
82,2023-05-24,Fire Hydrant,Residential,Afternoon,150.0,True,Car,False,Monday
83,2023-12-23,Expired Meter,Commercial,Morning,50.0,True,Car,False,Tuesday
84,2023-11-04,Fire Hydrant,Commercial,Evening,50.0,True,Car,False,Tuesday
85,2023-07-23,Expired Meter,Commercial,Evening,,True,Car,False,Monday
86,2023-05-31,Handicap,Commercial,Morning,25.0,False,Car,True,Wednesday
87,2023-01-27,Handicap,Commercial,Afternoon,75.0,True,Car,False,Friday
88,2023-08-22,Fire Hydrant,Commercial,Morning,75.0,True,Truck,False,Saturday
89,2023-11-17,No Parking Zone,Commercial,Evening,100.0,True,Car,False,Saturday
90,2023-09-24,Expired Meter,Commercial,Afternoon,75.0,True,Car,False,Wednesday
91,2023-12-11,Street Cleaning,Commercial,Afternoon,50.0,True,Car,False,Saturday
92,2023-02-17,No Parking Zone,Commercial,Afternoon,50.0,True,SUV,False,Friday
93,2023-11-29,No Parking Zone,Residential,Morning,25.0,True,SUV,False,Sunday
94,2023-04-11,No Parking Zone,Commercial,Afternoon,50.0,False,Car,False,Monday
95,2023-11-03,Expired Meter,Industrial,Night,50.0,True,Car,False,Saturday
96,2023-02-08,Fire Hydrant,Commercial,Afternoon,,False,SUV,False,Sunday
97,2023-10-17,Fire Hydrant,Commercial,Evening,100.0,True,Car,True,Monday
98,2023-10-17,Street Cleaning,Downtown,Afternoon,25.0,True,SUV,False,Monday
99,2023-10-25,Expired Meter,Residential,Afternoon,100.0,False,Car,True,Thursday
100,2023-02-11,No Parking Zone,Commercial,Evening,75.0,False,Truck,True,Friday
101,2023-05-18,No Parking Zone,Residential,Afternoon,25.0,True,Car,False,Friday
102,2023-11-22,Fire Hydrant,Residential,Afternoon,25.0,True,Car,False,Tuesday
103,2023-06-28,Expired Meter,Residential,Afternoon,25.0,False,Car,True,Monday
104,2023-11-09,Expired Meter,Residential,Evening,25.0,True,Car,False,Friday
105,2023-04-22,Expired Meter,Residential,Afternoon,50.0,False,SUV,True,Monday
106,2023-10-07,No Parking Zone,Downtown,Evening,50.0,True,Car,False,Saturday
107,2023-02-05,Handicap,Commercial,Afternoon,75.0,False,Truck,False,Friday
108,2023-12-24,Fire Hydrant,Residential,Afternoon,50.0,True,Car,True,Tuesday
109,2023-02-21,No Parking Zone,Residential,Morning,50.0,False,Car,False,Tuesday
110,2023-11-08,Expired Meter,Residential,Afternoon,,True,Car,True,Sunday
111,2023-03-12,Expired Meter,Residential,Morning,75.0,True,SUV,False,Tuesday
112,2023-09-13,No Parking Zone,Commercial,Morning,25.0,True,SUV,True,Tuesday
113,2023-04-02,Expired Meter,Commercial,Afternoon,25.0,False,SUV,False,Wednesday
114,2023-01-16,Street Cleaning,Residential,Night,50.0,False,Car,True,Saturday
115,2023-12-30,No Parking Zone,Commercial,Afternoon,50.0,True,Car,False,Tuesday
116,2023-12-06,Expired Meter,Industrial,Morning,100.0,True,Car,False,Sunday
117,2023-05-08,No Parking Zone,Industrial,Afternoon,,True,Car,True,Thursday
118,2023-06-22,Expired Meter,Residential,Morning,50.0,True,Car,False,Sunday
119,2023-02-06,No Parking Zone,Commercial,Afternoon,50.0,False,Truck,True,Friday
120,2023-12-16,Handicap,Downtown,Afternoon,50.0,False,Car,True,Sunday
121,2023-08-14,Expired Meter,Downtown,Evening,50.0,True,Car,False,Wednesday
122,2023-10-12,Expired Meter,Downtown,Morning,75.0,True,Car,False,Tuesday
123,2023-06-19,Expired Meter,Downtown,Morning,50.0,True,Truck,False,Friday
124,2023-07-21,Handicap,Residential,Evening,,True,Car,True,Sunday
125,2023-04-04,Fire Hydrant,Industrial,Evening,150.0,True,Truck,False,Sunday
126,2023-10-21,No Parking Zone,Residential,Evening,50.0,False,Truck,False,Thursday
127,2023-03-16,No Parking Zone,Commercial,Morning,25.0,True,Car,False,Thursday
128,2023-06-05,Expired Meter,Commercial,Morning,25.0,False,Truck,False,Sunday
129,2023-11-26,Fire Hydrant,Residential,Afternoon,25.0,True,Car,True,Saturday
130,2023-10-09,Expired Meter,Downtown,Evening,25.0,True,Car,True,Wednesday
131,2023-06-06,No Parking Zone,Industrial,Evening,50.0,True,Car,False,Monday
132,2023-07-04,Expired Meter,Residential,Afternoon,25.0,False,Truck,False,Thursday
133,2023-02-05,Expired Meter,Commercial,Afternoon,50.0,True,Car,False,Monday
134,2023-06-20,Expired Meter,Commercial,Evening,25.0,True,Truck,False,Sunday
135,2023-08-20,Expired Meter,Downtown,Evening,25.0,True,Car,False,Sunday
136,2023-10-17,Expired Meter,Commercial,Afternoon,75.0,True,Truck,False,Sunday
137,2023-12-16,Expired Meter,Industrial,Afternoon,150.0,True,,True,Sunday
138,2023-12-05,Expired Meter,Commercial,Afternoon,100.0,False,Car,False,Saturday
139,2023-04-17,Expired Meter,Commercial,Afternoon,75.0,True,Car,False,Thursday
140,2023-12-07,Fire Hydrant,Residential,Evening,75.0,True,Car,True,Friday
141,2023-05-18,Fire Hydrant,Downtown,Afternoon,50.0,True,Truck,False,Sunday
142,2023-06-17,Expired Meter,Commercial,Morning,25.0,False,Car,False,Sunday
143,2023-02-18,Fire Hydrant,Downtown,Morning,25.0,True,Truck,False,Tuesday
144,2023-09-27,Handicap,Commercial,Night,50.0,False,Car,True,Thursday
145,2023-07-14,Fire Hydrant,Commercial,Afternoon,,False,Truck,False,Monday
146,2023-03-31,No Parking Zone,Commercial,Afternoon,150.0,True,Truck,False,Friday
147,2023-08-18,Street Cleaning,Commercial,Morning,50.0,True,Car,False,Sunday
148,2023-06-18,No Parking Zone,Residential,Morning,50.0,False,Car,False,Thursday
149,2023-04-14,Fire Hydrant,Residential,Afternoon,50.0,False,Motorcycle,False,Tuesday
150,2023-11-17,No Parking Zone,Industrial,Afternoon,50.0,True,Car,False,Monday
151,2023-06-27,Expired Meter,Residential,Afternoon,50.0,False,Car,True,Saturday
152,2023-09-21,Fire Hydrant,Commercial,Morning,50.0,True,Car,False,Tuesday
153,2023-07-11,Fire Hydrant,Industrial,Evening,75.0,True,Car,False,Monday
154,2023-10-10,Expired Meter,Downtown,Morning,50.0,False,Car,True,Saturday
155,2023-01-18,Expired Meter,Residential,Afternoon,50.0,True,SUV,False,Friday
156,2023-05-18,Handicap,Commercial,Afternoon,100.0,False,Motorcycle,False,Sunday
157,2023-04-27,Expired Meter,Commercial,Night,75.0,False,SUV,True,Friday
158,2023-07-30,Expired Meter,Industrial,Afternoon,25.0,False,Car,True,Sunday
159,2023-05-26,Expired Meter,Downtown,Afternoon,75.0,True,Car,False,Sunday
160,2023-04-25,Expired Meter,Downtown,Afternoon,150.0,True,Truck,False,Saturday
161,2023-12-17,No Parking Zone,Commercial,Afternoon,75.0,True,Car,False,Wednesday
162,2023-09-12,Expired Meter,Industrial,Evening,75.0,True,Car,False,Friday
163,2023-07-14,No Parking Zone,Residential,Afternoon,50.0,True,Truck,True,Thursday
164,2023-12-31,No Parking Zone,Downtown,Morning,50.0,False,Car,False,Sunday
165,2023-04-22,Expired Meter,Residential,Afternoon,50.0,False,Truck,False,Sunday
166,2023-05-28,Expired Meter,Commercial,Afternoon,50.0,True,SUV,True,Saturday
167,2023-10-27,Expired Meter,Downtown,Afternoon,25.0,True,Car,False,Saturday
168,2023-01-20,Street Cleaning,Residential,Evening,25.0,True,Car,False,Friday
169,2023-10-13,No Parking Zone,Commercial,Evening,25.0,False,Car,False,Thursday
170,2023-10-17,Street Cleaning,Residential,Night,50.0,False,SUV,False,Tuesday
171,2023-11-16,Expired Meter,Downtown,Morning,25.0,True,Car,False,Friday
172,2023-05-05,Expired Meter,Downtown,Afternoon,25.0,False,Car,False,Monday
173,2023-05-08,Street Cleaning,Downtown,Morning,,True,Car,False,Saturday
174,2023-04-05,Handicap,Commercial,Evening,25.0,True,Car,False,Sunday
175,2023-10-29,Fire Hydrant,Residential,Afternoon,150.0,True,Car,False,Friday
176,2023-05-16,Expired Meter,Industrial,Evening,50.0,True,Truck,True,Friday
177,2023-01-02,Expired Meter,Residential,Afternoon,25.0,True,Car,False,Saturday
178,2023-06-03,Expired Meter,Commercial,Evening,50.0,True,Truck,True,Tuesday
179,2023-01-07,Street Cleaning,Residential,Morning,100.0,True,Car,False,Wednesday
180,2023-05-30,No Parking Zone,Downtown,Morning,50.0,True,Truck,True,Monday
181,2023-10-15,Expired Meter,Residential,Morning,75.0,True,Car,False,Sunday
182,2023-06-15,Expired Meter,Residential,Evening,50.0,False,Car,False,Friday
183,2023-04-08,No Parking Zone,Commercial,Morning,25.0,True,Car,True,Monday
184,2023-05-10,Expired Meter,Residential,Morning,75.0,True,Truck,False,Saturday
185,2023-06-18,Street Cleaning,Industrial,Evening,75.0,False,Car,True,Sunday
186,2023-07-05,Expired Meter,Commercial,Afternoon,100.0,False,SUV,True,Saturday
187,2023-05-01,Expired Meter,Downtown,Night,75.0,True,Car,False,Friday
188,2023-12-01,Expired Meter,Commercial,Evening,50.0,False,Car,False,Wednesday
189,2023-10-10,Handicap,Residential,Afternoon,100.0,False,Car,False,Wednesday
190,2023-06-03,Expired Meter,Residential,Morning,75.0,True,Truck,False,Saturday
191,2023-02-25,Expired Meter,Commercial,Evening,25.0,True,Car,False,Friday
192,2023-01-10,Fire Hydrant,Residential,Afternoon,75.0,True,Car,False,Thursday
193,2023-08-30,Expired Meter,Downtown,Evening,50.0,True,Car,False,Saturday
194,2023-02-06,No Parking Zone,Commercial,Morning,100.0,True,Car,True,Sunday
195,2023-03-11,Street Cleaning,Downtown,Afternoon,50.0,True,Car,True,Sunday
196,2023-08-13,Expired Meter,Commercial,Evening,25.0,True,Motorcycle,False,Tuesday
197,2023-06-27,No Parking Zone,Commercial,Afternoon,75.0,False,Car,False,Thursday
198,2023-03-10,No Parking Zone,Residential,Morning,25.0,True,Car,True,Saturday
199,2023-04-18,Handicap,Commercial,Night,25.0,False,Car,False,Thursday
200,2023-10-13,Expired Meter,Industrial,Afternoon,50.0,True,SUV,False,Wednesday
201,2023-01-05,Fire Hydrant,Commercial,Evening,25.0,True,Truck,False,Monday
202,2023-09-21,No Parking Zone,Downtown,Afternoon,25.0,True,SUV,True,Sunday
203,2023-05-07,Expired Meter,Industrial,Morning,50.0,True,Car,False,Friday
204,2023-08-03,No Parking Zone,Residential,Afternoon,25.0,True,Truck,False,Sunday
205,2023-09-19,No Parking Zone,Residential,Evening,50.0,True,Car,True,Monday
206,2023-02-02,No Parking Zone,Downtown,Afternoon,25.0,False,SUV,False,Monday
207,2023-02-05,Handicap,Residential,Afternoon,25.0,True,Car,True,Tuesday
208,2023-01-27,No Parking Zone,Downtown,Evening,50.0,True,Car,False,Wednesday
209,2023-01-30,No Parking Zone,Residential,Afternoon,75.0,True,Truck,False,Sunday
210,2023-01-13,Expired Meter,Residential,Afternoon,50.0,True,Car,False,Wednesday
211,2023-06-27,Fire Hydrant,Industrial,Afternoon,50.0,True,Car,False,Friday
212,2023-03-11,Expired Meter,Residential,Afternoon,,True,Car,True,Friday
213,2023-06-28,Handicap,Residential,Afternoon,25.0,True,Truck,False,Friday
214,2023-09-09,No Parking Zone,Downtown,Afternoon,50.0,False,Car,False,Saturday
215,2023-09-14,No Parking Zone,Downtown,Afternoon,50.0,True,Car,False,Sunday
216,2023-12-02,Fire Hydrant,Industrial,Morning,25.0,True,Truck,False,Sunday
217,2023-12-24,Expired Meter,Downtown,Afternoon,75.0,True,Car,False,Thursday
218,2023-12-16,No Parking Zone,Downtown,Morning,75.0,True,Car,False,Sunday
219,2023-03-24,Fire Hydrant,Residential,Night,50.0,True,Car,False,Wednesday
220,2023-07-24,Expired Meter,Residential,Afternoon,25.0,False,Car,True,Thursday
221,2023-12-08,Expired Meter,Commercial,Afternoon,150.0,False,Car,False,Thursday
222,2023-11-13,Handicap,Downtown,Morning,75.0,True,Car,False,Monday
223,2023-12-11,Handicap,Commercial,Evening,25.0,True,SUV,False,Wednesday
224,2023-05-03,Expired Meter,Commercial,Night,50.0,True,SUV,True,Sunday
225,2023-03-20,Fire Hydrant,Downtown,Afternoon,25.0,True,Car,False,Monday
226,2023-02-16,No Parking Zone,Commercial,Morning,50.0,True,SUV,True,Saturday
227,2023-10-21,Fire Hydrant,Commercial,Morning,100.0,False,Car,False,Saturday
228,2023-06-26,Expired Meter,Downtown,Morning,50.0,False,SUV,False,Wednesday
229,2023-12-30,No Parking Zone,Residential,Afternoon,25.0,False,Car,False,Saturday
230,2023-03-29,Expired Meter,Residential,Morning,75.0,True,Car,True,Monday
231,2023-03-21,Fire Hydrant,Residential,Morning,75.0,True,Car,False,Monday
232,2023-03-16,Expired Meter,Commercial,Evening,100.0,True,SUV,False,Saturday
233,2023-01-28,Street Cleaning,Downtown,Afternoon,50.0,True,,False,Monday
234,2023-09-01,Handicap,Downtown,Morning,100.0,True,Car,False,Saturday
235,2023-06-15,Fire Hydrant,Downtown,Afternoon,75.0,True,Truck,False,Saturday
236,2023-11-20,Street Cleaning,Commercial,Night,75.0,True,Car,True,Tuesday
237,2023-12-21,No Parking Zone,Commercial,Evening,50.0,False,Car,False,Thursday
238,2023-04-06,Expired Meter,Downtown,Morning,50.0,True,Car,False,Saturday
239,2023-01-23,Fire Hydrant,Residential,Morning,75.0,False,Car,False,Friday
240,2023-08-30,Street Cleaning,Commercial,Afternoon,25.0,False,SUV,False,Friday
241,2023-11-29,No Parking Zone,Residential,Afternoon,50.0,True,Car,False,Saturday
242,2023-03-06,Expired Meter,Downtown,Morning,100.0,True,Car,True,Saturday
243,2023-09-03,Expired Meter,Commercial,Afternoon,75.0,True,Truck,False,Saturday
244,2023-03-05,Handicap,Commercial,Evening,75.0,True,Truck,False,Sunday
245,2023-07-27,Expired Meter,Downtown,Evening,25.0,True,Car,False,Monday
246,2023-06-01,Fire Hydrant,Commercial,Evening,50.0,False,Car,False,Friday
247,2023-03-12,Street Cleaning,Residential,Afternoon,50.0,True,Car,True,Thursday
248,2023-12-12,Expired Meter,Commercial,Afternoon,75.0,True,Truck,False,Wednesday
249,2023-02-24,Expired Meter,Residential,Afternoon,50.0,True,SUV,False,Thursday
250,2023-09-25,Expired Meter,Residential,Evening,50.0,False,Car,False,Sunday
251,2023-10-29,No Parking Zone,Industrial,Morning,25.0,False,Car,False,Monday
252,2023-06-24,Street Cleaning,Commercial,Evening,25.0,False,Car,False,Wednesday
253,2023-12-17,Expired Meter,Residential,Morning,25.0,True,Car,False,Sunday
254,2023-04-11,No Parking Zone,Downtown,Night,75.0,True,Car,False,Tuesday
255,2023-05-30,No Parking Zone,Commercial,Night,50.0,True,,False,Tuesday
256,2023-04-14,No Parking Zone,Residential,Morning,25.0,True,Car,False,Monday
257,2023-06-03,No Parking Zone,Downtown,Morning,50.0,False,SUV,False,Tuesday
258,2023-01-31,Street Cleaning,Downtown,Afternoon,50.0,True,SUV,False,Tuesday
259,2023-04-03,Expired Meter,Residential,Morning,100.0,True,Truck,False,Sunday
260,2023-10-05,Expired Meter,Residential,Evening,75.0,True,Car,True,Sunday
261,2023-06-09,Expired Meter,Downtown,Evening,25.0,False,Car,False,Sunday
262,2023-09-09,Expired Meter,Industrial,Afternoon,75.0,True,Car,True,Wednesday
263,2023-11-02,Fire Hydrant,Residential,Afternoon,50.0,True,Car,False,Friday
264,2023-07-14,Fire Hydrant,Residential,Night,50.0,True,Truck,True,Friday
265,2023-04-12,No Parking Zone,Commercial,Night,75.0,True,Car,False,Thursday
266,2023-04-04,Fire Hydrant,Residential,Afternoon,100.0,True,SUV,True,Tuesday
267,2023-09-10,Expired Meter,Commercial,Evening,,False,Car,False,Monday
268,2023-04-12,Street Cleaning,Commercial,Morning,75.0,False,Truck,False,Friday
269,2023-02-17,Expired Meter,Commercial,Morning,50.0,False,Truck,False,Wednesday
270,2023-08-13,No Parking Zone,Residential,Afternoon,25.0,True,Car,False,Tuesday
271,2023-02-25,Expired Meter,Residential,Afternoon,75.0,False,Car,False,Tuesday
272,2023-06-08,Expired Meter,Residential,Afternoon,75.0,False,Car,True,Friday
273,2023-06-21,Expired Meter,Residential,Morning,75.0,True,Car,False,Monday
274,2023-02-26,No Parking Zone,Commercial,Night,,True,Car,False,Friday
275,2023-05-12,Expired Meter,Commercial,Evening,,False,SUV,False,Wednesday
276,2023-02-12,Expired Meter,Residential,Afternoon,50.0,True,Car,False,Sunday
277,2023-06-29,No Parking Zone,Downtown,Morning,75.0,True,Motorcycle,False,Wednesday
278,2023-08-20,Street Cleaning,Residential,Night,25.0,True,Truck,False,Saturday
279,2023-11-15,Expired Meter,Commercial,Afternoon,25.0,True,SUV,True,Friday
280,2023-03-10,No Parking Zone,Commercial,Morning,25.0,True,Car,True,Tuesday
281,2023-03-04,Fire Hydrant,Industrial,Afternoon,25.0,False,Motorcycle,False,Wednesday
282,2023-12-29,Handicap,Residential,Morning,50.0,True,Car,False,Saturday
283,2023-02-16,Expired Meter,Commercial,Morning,50.0,True,Car,False,Sunday
284,2023-07-23,Expired Meter,Downtown,Afternoon,50.0,False,Car,True,Saturday
285,2023-06-29,Expired Meter,Commercial,Morning,75.0,True,Car,False,Monday
286,2023-10-18,No Parking Zone,Downtown,Morning,100.0,True,SUV,False,Monday
287,2023-01-20,Street Cleaning,Commercial,Afternoon,100.0,True,SUV,False,Wednesday
288,2023-04-23,No Parking Zone,Downtown,Evening,25.0,True,Car,False,Tuesday
289,2023-07-09,No Parking Zone,Downtown,Evening,50.0,True,Truck,False,Saturday
290,2023-06-06,Fire Hydrant,Residential,Morning,50.0,False,Truck,True,Monday
291,2023-03-21,Expired Meter,Commercial,Morning,25.0,False,SUV,False,Tuesday
292,2023-04-13,No Parking Zone,Residential,Evening,25.0,False,Car,False,Sunday
293,2023-05-25,Expired Meter,Commercial,Afternoon,25.0,True,SUV,False,Monday
294,2023-10-13,No Parking Zone,Residential,Afternoon,75.0,True,Car,False,Wednesday
295,2023-07-18,Street Cleaning,Residential,Night,100.0,False,SUV,False,Monday
296,2023-11-28,Expired Meter,Commercial,Evening,100.0,False,SUV,False,Tuesday
297,2023-12-01,Handicap,Residential,Afternoon,25.0,False,Car,True,Saturday
298,2023-01-10,Handicap,Commercial,Evening,75.0,True,,False,Tuesday
299,2023-04-17,Handicap,Downtown,Afternoon,100.0,True,Car,False,Wednesday
300,2023-02-08,Expired Meter,Downtown,Night,75.0,True,SUV,False,Wednesday
301,2023-03-20,No Parking Zone,Commercial,Afternoon,50.0,True,Car,False,Monday
302,2023-11-14,Expired Meter,Commercial,Afternoon,150.0,False,Truck,False,Monday
303,2023-09-24,No Parking Zone,Downtown,Afternoon,75.0,True,Truck,False,Saturday
304,2023-07-24,Fire Hydrant,Downtown,Afternoon,100.0,True,Truck,False,Saturday
305,2023-04-08,Expired Meter,Residential,Morning,50.0,True,Car,False,Thursday
306,2023-04-14,Handicap,Commercial,Afternoon,75.0,True,Car,False,Thursday
307,2023-04-07,Expired Meter,Residential,Afternoon,50.0,False,Car,False,Tuesday
308,2023-11-23,Expired Meter,Industrial,Evening,75.0,True,Truck,True,Saturday
309,2023-06-25,No Parking Zone,Residential,Evening,75.0,True,Car,False,Wednesday
310,2023-10-25,Expired Meter,Commercial,Afternoon,25.0,False,Car,False,Friday
311,2023-10-08,Expired Meter,Downtown,Evening,25.0,True,Car,False,Sunday
312,2023-02-14,No Parking Zone,Downtown,Afternoon,50.0,True,Truck,False,Tuesday
313,2023-01-27,Expired Meter,Commercial,Afternoon,50.0,True,Car,False,Tuesday
314,2023-07-11,No Parking Zone,Downtown,Afternoon,75.0,True,Car,True,Monday
315,2023-05-11,Expired Meter,Residential,Afternoon,25.0,True,Truck,False,Wednesday
316,2023-05-25,Fire Hydrant,Commercial,Morning,25.0,True,Truck,False,Tuesday
317,2023-07-29,Handicap,Commercial,Afternoon,50.0,True,Car,False,Tuesday
318,2023-06-27,Expired Meter,Downtown,Afternoon,50.0,True,Car,False,Saturday
319,2023-03-14,Fire Hydrant,Commercial,Morning,25.0,True,Car,False,Sunday
320,2023-08-22,Fire Hydrant,Downtown,Evening,,True,Car,False,Tuesday
321,2023-10-12,Handicap,Commercial,Afternoon,25.0,True,Car,False,Monday
322,2023-02-09,Street Cleaning,Commercial,Afternoon,50.0,True,Truck,False,Sunday
323,2023-08-22,Expired Meter,Commercial,Afternoon,75.0,True,Car,False,Thursday
324,2023-05-14,Handicap,Downtown,Afternoon,50.0,True,Car,False,Monday
325,2023-10-02,Expired Meter,Industrial,Morning,25.0,True,Car,False,Sunday
326,2023-06-11,Expired Meter,Downtown,Afternoon,75.0,False,Car,False,Wednesday
327,2023-03-04,Fire Hydrant,Commercial,Afternoon,150.0,True,Car,True,Tuesday
328,2023-08-16,Expired Meter,Commercial,Afternoon,25.0,True,Car,False,Sunday
329,2023-09-06,Expired Meter,Downtown,Afternoon,75.0,False,Car,False,Monday
